id,lifeSat,age,emplStat55,healthSat,livtog
101,8,55,1,8,1
101,10,56,1,7,1
101,8,57,1,5,1
101,8,58,1,8,1
101,8,59,1,7,1
901,6,55,1,7,0
1701,8,55,1,9,1
1701,10,56,1,9,1
1701,10,57,1,9,1
1701,9,58,1,10,1
1901,7,55,1,6,1
1901,8,56,1,6,1
2301,7,55,1,5,0
2301,7,56,1,5,0
2301,8,57,1,7,0
2301,7,58,1,6,0
2301,8,59,1,8,0
2301,8,60,1,6,0
2302,8,55,1,9,0
2302,7,56,1,8,0
2302,8,57,1,9,0
2302,7,58,1,8,0
2302,8,59,1,9,0
2302,7,60,1,9,0
2801,8,55,1,7,0
2901,7,55,1,8,0
2901,8,56,1,4,0
2901,6,57,1,6,0
2901,7,58,1,6,0
2901,7,59,1,3,0
2901,7,60,1,6,0
3101,4,55,3,5,1
3101,7,56,3,8,1
3101,6,57,3,6,1
3101,4,58,3,6,1
3101,5,59,3,0,1
3101,3,60,3,1,1
3801,10,55,1,8,1
3801,10,56,1,8,1
3801,7,57,1,7,1
3801,9,58,1,8,1
3801,8,59,1,8,1
3801,9,60,1,7,1
4501,7,55,1,5,1
4601,9,55,1,6,1
4601,9,56,1,3,1
4601,8,57,1,3,1
4601,6,58,1,5,1
4601,8,59,1,7,1
4601,8,60,1,2,1
5301,8,55,1,5,1
5301,5,56,1,6,1
5301,8,57,1,7,1
5301,6,58,1,6,1
5601,10,55,1,10,0
5601,10,56,1,10,1
5601,10,57,1,5,1
5601,10,58,1,0,1
5601,7,59,1,4,1
5601,8,60,1,5,1
5702,8,55,1,9,0
5702,6,56,1,1,0
5702,6,57,1,5,0
5702,5,58,1,2,0
5702,9,59,1,4,0
5702,6,60,1,3,0
5901,5,55,1,6,0
5901,5,56,1,4,0
5901,5,57,1,5,0
5901,5,58,1,6,0
5901,5,59,1,5,0
5901,5,60,1,4,0
6401,7,55,2,3,0
6401,7,56,2,6,0
6401,8,57,2,7,0
6401,7,58,2,6,0
6401,7,59,2,1,0
6401,4,60,2,1,0
7001,7,55,1,5,0
7301,8,55,1,9,1
7301,9,56,1,9,1
7301,8,57,1,9,1
7301,8,58,1,9,1
7301,8,59,1,9,1
7301,8,60,1,8,1
8001,5,55,3,5,0
8001,7,56,3,6,0
8001,5,57,3,3,0
8001,5,58,3,4,0
8001,6,59,3,4,0
9001,7,55,3,7,0
9001,5,56,3,5,0
9001,7,57,3,6,0
9001,6,58,3,5,0
9001,9,59,3,9,0
9001,9,60,3,4,0
9602,2,55,2,8,0
9602,1,56,2,2,0
9901,6,55,1,4,0
9901,6,56,1,6,0
9901,5,57,1,5,0
9901,5,58,1,5,0
9901,6,59,1,4,0
9901,8,60,1,5,0
9903,4,55,2,5,0
9903,4,56,2,5,0
9903,7,57,2,5,0
9903,6,58,2,2,0
10101,8,55,1,7,1
10101,7,56,1,6,1
10101,7,57,1,6,1
10101,7,58,1,5,1
10101,7,59,1,5,1
10101,7,60,1,6,1
10201,5,55,1,7,0
10201,5,56,1,4,0
10201,7,57,1,6,0
10201,7,58,1,4,0
10201,7,59,1,5,0
10201,7,60,1,4,0
10301,8,55,1,5,1
10301,5,56,1,7,1
10301,8,57,1,6,1
10301,8,58,1,7,1
10301,8,59,1,7,1
10301,5,60,1,5,1
10501,7,55,1,7,1
11601,6,55,1,2,1
11601,8,56,1,2,1
11601,7,57,1,5,1
11601,8,58,1,5,1
11601,8,59,1,6,1
11601,8,60,1,6,1
11701,7,55,3,6,1
11701,7,56,3,7,1
11701,7,57,3,6,1
11701,7,58,3,7,1
11701,6,59,3,4,1
11701,6,60,3,6,1
11801,3,55,1,3,1
11801,6,56,1,4,1
11801,5,57,1,4,1
11801,4,58,1,4,1
11801,4,59,1,2,1
11801,4,60,1,4,1
12201,8,55,3,6,1
12201,8,56,3,7,1
12201,8,57,3,4,1
12201,8,59,3,4,1
12201,5,60,3,2,1
12301,5,55,1,6,1
12301,4,56,1,4,1
12301,4,57,1,3,1
12301,3,58,1,1,1
12301,4,59,1,2,0
12701,10,55,1,8,0
12701,10,56,1,8,0
12701,10,57,1,8,0
12701,10,58,1,6,0
12701,10,59,1,7,0
12701,10,60,1,4,0
12801,10,55,1,5,1
12801,10,56,1,8,1
12801,10,57,1,5,1
12801,10,58,1,6,1
12801,10,59,1,5,1
12801,10,60,1,5,1
13001,7,55,1,5,1
13001,5,56,1,2,1
13001,5,57,1,4,1
13001,7,58,1,4,1
13001,5,59,1,2,1
13001,8,60,1,6,1
13101,7,55,2,5,1
13101,7,56,2,0,1
13101,6,57,2,4,1
13101,10,58,2,6,1
13101,8,59,2,4,1
13101,8,60,2,6,1
14501,5,55,1,7,1
14801,7,55,1,9,1
14801,7,56,1,8,1
14801,7,57,1,9,1
14801,7,58,1,8,1
14801,6,59,1,6,1
14801,6,60,1,7,1
14901,5,55,1,0,1
14901,5,56,1,5,1
14901,5,57,1,5,1
14901,5,58,1,5,1
14901,5,59,1,5,1
14901,8,60,1,7,1
16101,5,55,1,5,0
16301,7,55,3,2,0
16301,8,56,3,2,0
16301,4,57,3,3,0
16301,4,58,3,7,0
16301,4,59,3,4,0
16301,8,60,3,7,0
16401,7,55,1,7,1
16401,8,56,1,7,1
16401,8,57,1,7,1
17001,3,55,3,0,0
17001,5,56,3,2,0
17001,4,57,3,1,0
17001,3,58,3,3,0
17101,7,55,1,6,1
17101,4,56,1,6,1
17101,7,57,1,5,1
17101,7,58,1,6,1
17101,8,59,1,7,1
17101,8,60,1,7,1
17301,5,55,1,5,1
17301,7,56,1,5,1
17301,5,57,1,4,1
17301,7,58,1,7,1
17301,7,59,1,6,1
17301,7,60,1,6,1
17501,4,55,1,3,1
17501,9,56,1,4,1
17501,5,57,1,3,1
17501,6,58,1,4,1
17501,8,59,1,4,1
17501,8,60,1,4,1
17601,9,55,1,5,1
17601,9,56,1,4,1
17601,9,57,1,3,1
17601,10,58,1,5,1
17601,9,59,1,3,1
17601,9,60,1,3,1
17701,5,55,1,6,1
17701,5,56,1,3,1
17701,5,57,1,5,1
17701,8,58,1,2,1
17901,8,55,1,7,1
17901,7,56,1,6,1
17901,6,57,1,3,1
17901,7,58,1,7,1
18501,9,55,1,6,1
18501,9,56,1,9,1
18501,10,57,1,7,1
18501,8,58,1,6,1
18501,9,59,1,8,1
18501,9,60,1,6,1
18601,7,55,1,7,1
18601,7,56,1,8,1
18601,8,57,1,7,1
18601,7,58,1,7,1
18601,8,59,1,8,1
18601,9,60,1,10,1
18801,6,55,3,2,1
18801,7,56,3,7,1
18801,7,57,3,5,1
18801,7,58,3,7,1
18801,8,59,3,8,1
18801,7,60,3,5,1
19001,8,55,2,9,0
19001,7,56,2,9,0
19001,8,57,2,9,0
19001,7,58,2,9,0
19001,8,59,2,6,0
